gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue
GSE101601,GSM2708947,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708948,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708949,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708950,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708951,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708952,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708953,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708954,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708955,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708956,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708957,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708958,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708959,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708960,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708961,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708962,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708963,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708964,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708965,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708966,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708967,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708968,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708969,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708970,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708971,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708972,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708973,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708974,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708975,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708976,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708977,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708978,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708979,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708980,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708981,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
GSE101601,GSM2708982,middle temporal gyrus,Homo sapiens,NONE,middle temporal gyrus
