gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,brain_region,reporter
GSE71585,GSM1840544,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840545,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840546,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840547,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840548,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840549,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840550,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840551,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840552,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840553,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840554,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840555,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840556,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840557,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840558,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840559,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840560,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840561,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840562,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840563,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840564,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840565,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840566,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840567,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840568,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840569,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840570,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840571,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840572,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840573,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840574,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840575,Primary visual cortex,Mus musculus,NONE,VISp,NA
GSE71585,GSM1840576,Primary visual cortex,Mus musculus,NONE,VISp,NA
