gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,tissue,gender
GSE117891,GSM3314644,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314644/suppl/GSM3314644_S11P6_4.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314645,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314645/suppl/GSM3314645_S11P6_5.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314646,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314646/suppl/GSM3314646_S11P6_6.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314647,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314647/suppl/GSM3314647_S11P6_7.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314648,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314648/suppl/GSM3314648_S12P1_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314649,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314649/suppl/GSM3314649_S12P1_3.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314650,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314650/suppl/GSM3314650_S12P2_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314651,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314651/suppl/GSM3314651_S12P2_3.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314652,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314652/suppl/GSM3314652_S12P3_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314653,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314653/suppl/GSM3314653_S12P5_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314654,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314654/suppl/GSM3314654_S13P2_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314655,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314655/suppl/GSM3314655_S13P4_2.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314656,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314656/suppl/GSM3314656_S13P4_3.UMI_count.tsv.gz,Brain,male
GSE117891,GSM3314657,Brain,Homo sapiens,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3314nnn/GSM3314657/suppl/GSM3314657_S13P4_4.UMI_count.tsv.gz,Brain,male
