gse_id,gsm_id,source_name_ch1,organism_ch1,supplementary_file_1,age
GSE104323,GSM2795438,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795439,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795440,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795441,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795442,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795443,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795444,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795445,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795446,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795447,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795448,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795449,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795450,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795451,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795452,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795453,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795454,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795455,dentate gyrus,Mus musculus,NONE,P5
GSE104323,GSM2795456,dentate gyrus,Mus musculus,NONE,P5
